No.,Carry (yd),Roll (yd),Total (yd),Lateral (yd),Ball (mph),Spin (rpm),Spin Axis (deg),Launch V (deg),Launch H (deg),Time (s),Height (ft),Wind Speed (mph),Wind Direction (deg),Air Pressure (psi),Temperature (F),Humidity (%),Ball type
1,80.3,0.8,79.6,8.5 L,75,10000,10 L,34,4 L,4.8,70.2,0,0,14.69,77,50,Standard
2,88.9,0.7,88.2,0,80,9700,0,32,0,5,75.2,0,0,14.69,77,50,Standard
3,100.5,0.2,100.3,14 L,86,9000,0,29,8 L,5.2,78.7,0,0,14.69,77,50,Standard
4,138.8,1.3,140,4.8 L,104.5,6400,8 L,23,0,5.9,92.7,0,0,14.69,77,50,Standard
5,150.4,2.3,152.6,13 L,109,5600,4 L,19.5,4 L,5.8,84.7,0,0,14.69,77,50,Standard
6,153.7,3.5,157.2,7.3 L,109,4750,12 L,19,0,5.6,79.2,0,0,14.69,77,50,Standard
7,184,3.7,187.7,9.6 L,124,4400,0,18,3 L,6.4,99.3,0,0,14.69,77,50,Standard
8,191,4.2,195.2,18.3 L,127,4150,2 L,17,5 L,6.4,97.3,0,0,14.69,77,50,Standard
9,221.5,7.3,228.8,16.7 L,140,3000,1.5 L,14.5,4 L,6.5,92.6,0,0,14.69,77,50,Standard
10,267.3,9.9,277.2,14.3 L,165,2500,5 L,11,2 L,6.7,90.6,0,0,14.69,77,50,Standard
11,227.4,7,234.4,21.6 L,145,3400,15 L,13,2 L,6.5,90.2,0,0,14.69,77,50,Standard
12,238.1,8.3,246.4,1.4 L,150,3000,1.5 L,12,0,6.5,87.1,0,0,14.69,77,50,Standard
13,238.2,8.3,246.5,6.2 L,150,3000,0,12,1.5 L,6.5,87.1,0,0,14.69,77,50,Standard
14,177.2,14,191.2,6.1 L,120,2000,3 L,14,1.5 L,5,55.8,0,0,14.69,77,50,Standard
15,260.8,12.3,273.1,13.7 L,165,2500,5 L,9,2 L,6.3,72.9,0,0,14.69,77,50,Standard
16,265.1,16.3,281.5,4.6 L,170,2000,0,8,1 L,6,63.2,0,0,14.69,77,50,Standard
17,282.8,8.3,291.1,17.1 L,175,3000,2 L,10,3 L,7.1,98.3,0,0,14.69,77,50,Standard
18,257.4,10.3,267.7,11.8 L,160,2500,3 L,11,2 L,6.5,85.2,0,0,14.69,77,50,Standard
19,265.9,15.3,281.2,3.5 L,168,2000,4 L,9,0,6.1,70.2,0,0,14.69,77,50,Standard
20,295.1,7,302,38.1 L,180,3000,10 L,12,5 L,7.7,122.6,0,0,14.69,77,50,Standard
21,235.6,15.2,250.7,16.2 L,155,2500,5 L,8,3 L,5.6,55.5,0,0,14.69,77,50,Standard
